Date,VN30F1M,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2023-03-02,1024.0,17.58,81.62,34.03,46.74,24.88,58.29,76.85,13.87,11.89,18.73,12.56,79.0,39.6,10.35,9.49,36.55,12.7,84.92,14.01,25.6,13.19,12.49,52.79,41.1,13.8,52.8,101.6,69.57,15.66,26.2
2023-03-03,1005.2,17.19,81.14,33.66,46.22,24.88,57.2,76.48,13.72,11.75,18.5,12.38,76.0,38.72,10.35,9.49,36.69,12.35,84.42,13.86,25.0,13.0,12.28,51.48,40.95,13.57,52.7,101.2,69.12,15.39,26.0
2023-03-06,1010.0,17.05,81.33,33.59,45.79,25.37,56.98,75.9,13.82,11.89,18.55,12.48,74.4,38.72,11.05,10.12,36.79,12.45,83.52,14.08,24.9,13.19,12.31,51.54,42.1,13.53,52.6,96.3,68.21,15.48,26.15
2023-03-07,1027.9,17.19,81.62,34.4,46.07,25.95,57.42,76.48,14.02,12.22,19.18,12.56,78.3,39.01,10.85,10.21,36.88,12.55,84.38,14.57,25.0,13.14,12.34,52.05,42.3,13.53,52.7,97.1,68.94,15.75,26.6
2023-03-08,1038.0,17.54,82.11,35.2,46.74,26.31,57.93,77.51,14.11,12.28,19.27,12.7,80.4,38.72,11.05,10.71,36.79,12.75,84.2,14.87,25.35,13.24,12.57,52.22,42.35,13.6,53.0,98.3,69.57,16.43,27.25
2023-03-09,1050.7,17.79,81.62,34.95,47.17,26.31,58.73,78.17,14.75,12.22,19.27,12.84,80.8,39.31,10.95,10.84,36.88,13.0,84.2,14.87,26.5,13.48,12.86,52.67,42.4,13.93,53.0,101.8,69.57,16.47,27.0
2023-03-10,1049.8,17.47,81.43,34.58,46.93,26.13,57.93,78.31,14.6,12.22,19.36,12.81,83.9,39.06,10.65,10.62,36.08,12.95,83.79,14.87,26.0,13.17,12.6,52.16,42.85,13.76,53.1,100.6,69.94,16.56,28.0
2023-03-13,1048.0,17.19,81.33,33.92,47.22,26.22,57.49,79.12,14.55,12.18,19.18,12.63,84.5,38.72,11.0,10.66,35.98,13.15,84.42,14.76,25.0,12.97,12.76,51.82,44.75,13.6,53.3,100.7,69.94,17.56,29.1
2023-03-14,1037.9,16.88,80.75,33.04,46.46,25.95,57.35,78.83,13.92,11.92,18.45,12.41,83.6,37.93,10.7,10.66,35.08,12.85,85.78,14.31,24.4,12.75,12.7,51.54,44.75,13.3,53.0,101.7,69.66,17.56,28.8
2023-03-15,1063.0,17.4,80.85,34.32,47.03,26.4,58.66,78.31,14.79,12.22,19.36,12.84,84.7,39.31,11.35,11.07,35.61,13.5,85.55,15.29,25.35,13.19,12.94,51.77,46.0,14.06,54.0,104.9,70.12,17.92,28.5
